,Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation
108,100,Voltorb,Electric,,330,40,30,50,55,55,100,1
109,101,Electrode,Electric,,480,60,50,70,80,80,140,1
110,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1
111,103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1
112,104,Cubone,Ground,,320,50,50,95,40,50,35,1
113,105,Marowak,Ground,,425,60,80,110,50,80,45,1
114,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1
115,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1
116,108,Lickitung,Normal,,385,90,55,75,60,75,30,1
117,109,Koffing,Poison,,340,40,65,95,60,45,35,1
118,110,Weezing,Poison,,490,65,90,120,85,70,60,1
119,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1
120,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1
121,113,Chansey,Normal,,450,250,5,5,35,105,50,1
122,114,Tangela,Grass,,435,65,55,115,100,40,60,1
123,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1
124,115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1
125,116,Horsea,Water,,295,30,40,70,70,25,60,1
126,117,Seadra,Water,,440,55,65,95,95,45,85,1
127,118,Goldeen,Water,,320,45,67,60,35,50,63,1
128,119,Seaking,Water,,450,80,92,65,65,80,68,1
129,120,Staryu,Water,,340,30,45,55,70,55,85,1
130,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1
131,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1
132,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1
133,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1
134,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1
135,126,Magmar,Fire,,495,65,95,57,100,85,93,1
136,127,Pinsir,Bug,,500,65,125,100,55,70,85,1
137,127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1
138,128,Tauros,Normal,,490,75,100,95,40,70,110,1
139,129,Magikarp,Water,,200,20,10,55,15,20,80,1
140,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1
141,130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1
142,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1
143,132,Ditto,Normal,,288,48,48,48,48,48,48,1
144,133,Eevee,Normal,,325,55,55,50,45,65,55,1
145,134,Vaporeon,Water,,525,130,65,60,110,95,65,1
146,135,Jolteon,Electric,,525,65,65,60,110,95,130,1
147,136,Flareon,Fire,,525,65,130,60,95,110,65,1
148,137,Porygon,Normal,,395,65,60,70,85,75,40,1
149,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1
150,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1
151,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1
152,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1
153,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1
154,142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1
155,143,Snorlax,Normal,,540,160,110,65,65,110,30,1
156,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1
157,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1
158,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1
159,147,Dratini,Dragon,,300,41,64,45,50,50,50,1
160,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1
161,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1
162,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1
163,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1
164,150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1
165,151,Mew,Psychic,,600,100,100,100,100,100,100,1
166,152,Chikorita,Grass,,318,45,49,65,49,65,45,2
167,153,Bayleef,Grass,,405,60,62,80,63,80,60,2
168,154,Meganium,Grass,,525,80,82,100,83,100,80,2
169,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2
170,156,Quilava,Fire,,405,58,64,58,80,65,80,2
171,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2
172,158,Totodile,Water,,314,50,65,64,44,48,43,2
173,159,Croconaw,Water,,405,65,80,80,59,63,58,2
174,160,Feraligatr,Water,,530,85,105,100,79,83,78,2
175,161,Sentret,Normal,,215,35,46,34,35,45,20,2
176,162,Furret,Normal,,415,85,76,64,45,55,90,2
177,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2
178,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2
179,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2
180,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2
181,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2
182,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2
183,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2
185,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2
186,172,Pichu,Electric,,205,20,40,15,35,35,60,2
187,173,Cleffa,Fairy,,218,50,25,28,45,55,15,2
188,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2
189,175,Togepi,Fairy,,245,35,20,65,40,65,20,2
190,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2
191,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2
192,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2
193,179,Mareep,Electric,,280,55,40,40,65,45,35,2
194,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2
195,181,Ampharos,Electric,,510,90,75,85,115,90,55,2
196,181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2
197,182,Bellossom,Grass,,490,75,80,95,90,100,50,2
198,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2
199,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2
200,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2
201,186,Politoed,Water,,500,90,75,75,90,100,70,2
202,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2
203,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2
204,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2
205,190,Aipom,Normal,,360,55,70,55,40,55,85,2
206,191,Sunkern,Grass,,180,30,30,30,30,30,30,2
207,192,Sunflora,Grass,,425,75,75,55,105,85,30,2
208,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2
209,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2
210,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2
211,196,Espeon,Psychic,,525,65,65,60,130,95,110,2
212,197,Umbreon,Dark,,525,95,65,110,60,130,65,2
213,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2
214,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2
215,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2
216,201,Unown,Psychic,,336,48,72,48,72,48,48,2
217,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2
218,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2
219,204,Pineco,Bug,,290,50,65,90,35,35,15,2
220,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2
221,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2
222,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2
223,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2
224,208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2
225,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2
226,210,Granbull,Fairy,,450,90,120,75,60,60,45,2
227,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2
228,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2
229,212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2
230,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2
231,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2
232,214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2
233,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2
234,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2
235,217,Ursaring,Normal,,500,90,130,75,75,75,55,2
236,218,Slugma,Fire,,250,40,40,40,70,40,20,2
237,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2
238,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2
239,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2
240,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2
241,223,Remoraid,Water,,300,35,65,35,65,35,65,2
242,224,Octillery,Water,,480,75,105,75,105,75,45,2
243,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2
244,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2
245,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2
246,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2
247,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2
248,229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2
249,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2
250,231,Phanpy,Ground,,330,90,60,60,40,40,40,2
251,232,Donphan,Ground,,500,90,120,120,60,60,50,2
252,233,Porygon2,Normal,,515,85,80,90,105,95,60,2
253,234,Stantler,Normal,,465,73,95,62,85,65,85,2
254,235,Smeargle,Normal,,250,55,20,35,20,45,75,2
255,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2
256,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2
257,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2
258,239,Elekid,Electric,,360,45,63,37,65,55,95,2
259,240,Magby,Fire,,365,45,75,37,70,55,83,2
260,241,Miltank,Normal,,490,95,80,105,40,70,100,2
261,242,Blissey,Normal,,540,255,10,10,75,135,55,2
262,243,Raikou,Electric,,580,90,85,75,115,100,115,2
263,244,Entei,Fire,,580,115,115,85,90,75,100,2
264,245,Suicune,Water,,580,100,75,115,90,115,85,2
265,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2
266,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2
267,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2
268,248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2
269,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2
270,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2
271,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2
272,252,Treecko,Grass,,310,40,45,35,65,55,70,3
273,253,Grovyle,Grass,,405,50,65,45,85,65,95,3
274,254,Sceptile,Grass,,530,70,85,65,105,85,120,3
275,254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3
276,255,Torchic,Fire,,310,45,60,40,70,50,45,3
277,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3
278,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3
279,257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3
280,258,Mudkip,Water,,310,50,70,50,50,50,40,3
281,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3
282,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3
283,260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3
284,261,Poochyena,Dark,,220,35,55,35,30,30,35,3
285,262,Mightyena,Dark,,420,70,90,70,60,60,70,3
286,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3
287,264,Linoone,Normal,,420,78,70,61,50,61,100,3
288,265,Wurmple,Bug,,195,45,45,35,20,30,20,3
289,266,Silcoon,Bug,,205,50,35,55,25,25,15,3
290,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3
291,268,Cascoon,Bug,,205,50,35,55,25,25,15,3
292,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3
293,270,Lotad,Water,Grass,220,40,30,30,40,50,30,3
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3
295,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3
296,273,Seedot,Grass,,220,40,40,50,30,30,30,3
297,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3
298,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3
299,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3
300,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3
301,278,Wingull,Water,Flying,270,40,30,30,55,30,85,3
302,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3
303,280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3
304,281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3
305,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3
306,282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3
307,283,Surskit,Bug,Water,269,40,30,32,50,52,65,3
308,284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3
309,285,Shroomish,Grass,,295,60,40,60,40,60,35,3
310,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3
311,287,Slakoth,Normal,,280,60,60,60,35,35,30,3
312,288,Vigoroth,Normal,,440,80,80,80,55,55,90,3
313,289,Slaking,Normal,,670,150,160,100,95,65,100,3
314,290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3
315,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3
316,292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3
317,293,Whismur,Normal,,240,64,51,23,51,23,28,3
318,294,Loudred,Normal,,360,84,71,43,71,43,48,3
319,295,Exploud,Normal,,490,104,91,63,91,73,68,3
320,296,Makuhita,Fighting,,237,72,60,30,20,30,25,3
321,297,Hariyama,Fighting,,474,144,120,60,40,60,50,3
322,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3
323,299,Nosepass,Rock,,375,30,45,135,45,90,30,3
324,300,Skitty,Normal,,260,50,45,45,35,35,50,3
325,301,Delcatty,Normal,,380,70,65,65,55,55,70,3
326,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3
327,302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3
328,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3
329,303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3
330,304,Aron,Steel,Rock,330,50,70,100,40,40,30,3
331,305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3
332,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3
333,306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3
334,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3
335,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3
336,308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3
337,309,Electrike,Electric,,295,40,45,40,65,40,65,3
338,310,Manectric,Electric,,475,70,75,60,105,60,105,3
339,310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3
340,311,Plusle,Electric,,405,60,50,40,85,75,95,3
341,312,Minun,Electric,,405,60,40,50,75,85,95,3
342,313,Volbeat,Bug,,400,65,73,55,47,75,85,3
343,314,Illumise,Bug,,400,65,47,55,73,75,85,3
344,315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3
345,316,Gulpin,Poison,,302,70,43,53,43,53,40,3
346,317,Swalot,Poison,,467,100,73,83,73,83,55,3
347,318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3
348,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3
349,319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3
350,320,Wailmer,Water,,400,130,70,35,70,35,60,3
351,321,Wailord,Water,,500,170,90,45,90,45,60,3
352,322,Numel,Fire,Ground,305,60,60,40,65,45,35,3
353,323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3
354,323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3
355,324,Torkoal,Fire,,470,70,85,140,85,70,20,3
356,325,Spoink,Psychic,,330,60,25,35,70,80,60,3
357,326,Grumpig,Psychic,,470,80,45,65,90,110,80,3
358,327,Spinda,Normal,,360,60,60,60,60,60,60,3
359,328,Trapinch,Ground,,290,45,100,45,45,45,10,3
360,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3
361,330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3
362,331,Cacnea,Grass,,335,50,85,40,85,40,35,3
363,332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3
364,333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3
365,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3
366,334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3
367,335,Zangoose,Normal,,458,73,115,60,60,60,90,3
368,336,Seviper,Poison,,458,73,100,60,100,60,65,3
369,337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3
370,338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3
371,339,Barboach,Water,Ground,288,50,48,43,46,41,60,3
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3
373,341,Corphish,Water,,308,43,80,65,50,35,35,3
374,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3
375,343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3
376,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3
377,345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3
378,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3
379,347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3
380,348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3
381,349,Feebas,Water,,200,20,15,20,10,55,80,3
382,350,Milotic,Water,,540,95,60,79,100,125,81,3
383,351,Castform,Normal,,420,70,70,70,70,70,70,3
384,352,Kecleon,Normal,,440,60,90,70,60,120,40,3
385,353,Shuppet,Ghost,,295,44,75,35,63,33,45,3
386,354,Banette,Ghost,,455,64,115,65,83,63,65,3
387,354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3
388,355,Duskull,Ghost,,295,20,40,90,30,90,25,3
389,356,Dusclops,Ghost,,455,40,70,130,60,130,25,3
390,357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3
391,358,Chimecho,Psychic,,425,65,50,70,95,80,65,3
392,359,Absol,Dark,,465,65,130,60,75,60,75,3
393,359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3
394,360,Wynaut,Psychic,,260,95,23,48,23,48,23,3
395,361,Snorunt,Ice,,300,50,50,50,50,50,50,3
396,362,Glalie,Ice,,480,80,80,80,80,80,80,3
397,362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3
398,363,Spheal,Ice,Water,290,70,40,50,55,50,25,3
399,364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3
400,365,Walrein,Ice,Water,530,110,80,90,95,90,65,3
401,366,Clamperl,Water,,345,35,64,85,74,55,32,3
402,367,Huntail,Water,,485,55,104,105,94,75,52,3
403,368,Gorebyss,Water,,485,55,84,105,114,75,52,3
404,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3
405,370,Luvdisc,Water,,330,43,30,55,40,65,97,3
406,371,Bagon,Dragon,,300,45,75,60,40,30,50,3
407,372,Shelgon,Dragon,,420,65,95,100,60,50,50,3
408,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3
409,373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3
410,374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3
411,375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3
412,376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3
413,376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3
414,377,Regirock,Rock,,580,80,100,200,50,100,50,3
415,378,Regice,Ice,,580,80,50,100,100,200,50,3
416,379,Registeel,Steel,,580,80,75,150,75,150,50,3
417,380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3
418,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3
419,381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3
420,381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3
421,382,Kyogre,Water,,670,100,100,90,150,140,90,3
